country_region,province_state,date,confirmed,deaths,recovered,admin2
Colombia,Quindio,2020-07-22,223,6,170,
Colombia,Risaralda,2020-07-22,1111,22,546,
Colombia,San Andres y Providencia,2020-07-22,31,0,23,
Colombia,Santander,2020-07-22,2134,54,752,
Colombia,Sucre,2020-07-22,4726,258,1492,
Colombia,Tolima,2020-07-22,1909,34,1102,
Colombia,Valle del Cauca,2020-07-22,19164,722,9739,
Colombia,Vaupes,2020-07-22,61,1,28,
Colombia,Vichada,2020-07-22,2,0,1,
Ethiopia,,2020-07-22,11524,188,5506,
Indonesia,,2020-07-22,91751,4459,50255,
Malaysia,,2020-07-22,8831,123,8566,
Colombia,Unknown,2020-07-22,0,0,0,
Colombia,Amazonas,2020-07-23,2470,101,2285,
Colombia,Antioquia,2020-07-23,20613,275,5483,
Colombia,Arauca,2020-07-23,174,1,104,
Colombia,Atlantico,2020-07-23,46595,2295,28788,
Colombia,Bolivar,2020-07-23,15943,520,10720,
Colombia,Boyaca,2020-07-23,718,23,371,
Colombia,Caldas,2020-07-23,551,7,256,
Colombia,Capital District,2020-07-23,74599,1905,29333,
Colombia,Caqueta,2020-07-23,485,8,54,
Colombia,Casanare,2020-07-23,199,3,87,
Colombia,Cauca,2020-07-23,1393,40,488,
Colombia,Cesar,2020-07-23,2309,44,1221,
Colombia,Choco,2020-07-23,2761,83,1681,
Colombia,Cordoba,2020-07-23,3344,381,861,
Colombia,Cundinamarca,2020-07-23,6513,156,3118,
Colombia,Guainia,2020-07-23,14,1,13,
Colombia,Guaviare,2020-07-23,52,0,43,
Colombia,Huila,2020-07-23,625,18,362,
Colombia,La Guajira,2020-07-23,1673,95,625,
Colombia,Magdalena,2020-07-23,4771,293,2154,
Colombia,Meta,2020-07-23,2121,26,1414,
Colombia,Narino,2020-07-23,6292,186,3438,
Colombia,Norte de Santander,2020-07-23,1254,51,334,
Colombia,Putumayo,2020-07-23,460,19,20,
Colombia,Quindio,2020-07-23,226,6,173,
Colombia,Risaralda,2020-07-23,1170,24,568,
Colombia,San Andres y Providencia,2020-07-23,33,0,24,
Colombia,Santander,2020-07-23,2254,58,801,
Colombia,Sucre,2020-07-23,4851,276,1679,
Colombia,Tolima,2020-07-23,1926,37,1143,
Colombia,Valle del Cauca,2020-07-23,19921,755,10280,
Colombia,Vaupes,2020-07-23,61,1,29,
Colombia,Vichada,2020-07-23,2,0,1,
Ethiopia,,2020-07-23,11933,197,5645,
Indonesia,,2020-07-23,93657,4576,52164,
Malaysia,,2020-07-23,8840,123,8574,
Colombia,Unknown,2020-07-23,0,0,0,
Colombia,Amazonas,2020-07-24,2479,101,2296,
Colombia,Antioquia,2020-07-24,21922,301,6011,
Colombia,Arauca,2020-07-24,174,1,106,
Colombia,Atlantico,2020-07-24,47005,2332,29592,
Colombia,Bolivar,2020-07-24,16118,528,10947,
Colombia,Boyaca,2020-07-24,734,24,386,
Colombia,Caldas,2020-07-24,583,7,258,
Colombia,Capital District,2020-07-24,77889,2000,32222,
Colombia,Caqueta,2020-07-24,489,8,55,
Colombia,Casanare,2020-07-24,202,4,96,
Colombia,Cauca,2020-07-24,1416,43,539,
Colombia,Cesar,2020-07-24,2367,46,1259,
Colombia,Choco,2020-07-24,2787,86,1749,
Colombia,Cordoba,2020-07-24,3458,404,895,
Colombia,Cundinamarca,2020-07-24,6825,161,3273,
Colombia,Guainia,2020-07-24,14,1,13,
Colombia,Guaviare,2020-07-24,73,0,43,
Colombia,Huila,2020-07-24,646,18,365,
Colombia,La Guajira,2020-07-24,1696,98,658,
Colombia,Magdalena,2020-07-24,4829,301,2241,
Colombia,Meta,2020-07-24,2148,26,1430,
Colombia,Narino,2020-07-24,6461,190,3558,
Colombia,Norte de Santander,2020-07-24,1388,54,355,
Colombia,Putumayo,2020-07-24,495,22,22,
Colombia,Quindio,2020-07-24,235,6,185,
Colombia,Risaralda,2020-07-24,1234,24,606,
Colombia,San Andres y Providencia,2020-07-24,33,0,27,
Colombia,Santander,2020-07-24,2403,59,861,
Colombia,Sucre,2020-07-24,4974,302,1733,
Colombia,Tolima,2020-07-24,1985,38,1194,
Colombia,Valle del Cauca,2020-07-24,20416,789,10859,
Colombia,Vaupes,2020-07-24,61,1,29,
Colombia,Vichada,2020-07-24,2,0,1,
Ethiopia,,2020-07-24,12693,200,5785,
Indonesia,,2020-07-24,95418,4665,53945,
Malaysia,,2020-07-24,8861,123,8577,
Colombia,Unknown,2020-07-24,0,0,0,
Colombia,Amazonas,2020-07-25,2497,101,2301,
Colombia,Antioquia,2020-07-25,23035,321,6428,
Colombia,Arauca,2020-07-25,181,1,121,
Colombia,Atlantico,2020-07-25,47573,2360,31473,
Colombia,Bolivar,2020-07-25,16286,533,11351,
Colombia,Boyaca,2020-07-25,759,25,394,
Colombia,Caldas,2020-07-25,651,9,265,
Colombia,Capital District,2020-07-25,81180,2115,33753,
Colombia,Caqueta,2020-07-25,542,8,69,
Colombia,Casanare,2020-07-25,213,4,98,
Colombia,Cauca,2020-07-25,1501,44,571,
Colombia,Cesar,2020-07-25,2447,49,1297,
Colombia,Choco,2020-07-25,2802,89,1800,
Colombia,Cordoba,2020-07-25,3593,438,1044,
Colombia,Cundinamarca,2020-07-25,6928,161,3419,
Colombia,Guainia,2020-07-25,14,1,13,
Colombia,Guaviare,2020-07-25,77,0,43,
Colombia,Huila,2020-07-25,673,18,367,
Colombia,La Guajira,2020-07-25,1757,103,721,
Colombia,Magdalena,2020-07-25,4927,311,2428,
Colombia,Meta,2020-07-25,2256,27,1468,
Colombia,Narino,2020-07-25,6610,197,3623,
Colombia,Norte de Santander,2020-07-25,1515,59,377,
Colombia,Putumayo,2020-07-25,532,22,24,
Colombia,Quindio,2020-07-25,245,6,189,
Colombia,Risaralda,2020-07-25,1298,25,621,
Colombia,San Andres y Providencia,2020-07-25,33,0,27,
Colombia,Santander,2020-07-25,2564,64,901,
Colombia,Sucre,2020-07-25,5119,327,1972,
Colombia,Tolima,2020-07-25,2049,38,1224,
Colombia,Valle del Cauca,2020-07-25,20875,812,11243,
Colombia,Vaupes,2020-07-25,61,1,41,
Colombia,Vichada,2020-07-25,2,0,1,
Ethiopia,,2020-07-25,13248,209,5966,
Indonesia,,2020-07-25,97286,4714,55354,
Malaysia,,2020-07-25,8884,123,8594,
Colombia,Unknown,2020-07-25,0,0,0,
Colombia,Amazonas,2020-07-26,2497,101,2301,
Colombia,Antioquia,2020-07-26,23035,321,6428,
Colombia,Arauca,2020-07-26,181,1,121,
Colombia,Atlantico,2020-07-26,47573,2360,31473,
Colombia,Bolivar,2020-07-26,16286,533,11351,
Colombia,Boyaca,2020-07-26,759,25,394,
Colombia,Caldas,2020-07-26,651,9,265,
Colombia,Capital District,2020-07-26,81180,2115,33753,
Colombia,Caqueta,2020-07-26,542,8,69,
Colombia,Casanare,2020-07-26,213,4,98,
Colombia,Cauca,2020-07-26,1501,44,571,
Colombia,Cesar,2020-07-26,2447,49,1297,
Colombia,Choco,2020-07-26,2802,89,1800,
Colombia,Cordoba,2020-07-26,3593,438,1044,
Colombia,Cundinamarca,2020-07-26,6928,161,3419,
Colombia,Guainia,2020-07-26,14,1,13,
Colombia,Guaviare,2020-07-26,77,0,43,
Colombia,Huila,2020-07-26,673,18,367,
Colombia,La Guajira,2020-07-26,1757,103,721,
Colombia,Magdalena,2020-07-26,4927,311,2428,
Colombia,Meta,2020-07-26,2256,27,1468,
Colombia,Narino,2020-07-26,6610,197,3623,
Colombia,Norte de Santander,2020-07-26,1515,59,377,
Colombia,Putumayo,2020-07-26,532,22,24,
Colombia,Quindio,2020-07-26,245,6,189,
Colombia,Risaralda,2020-07-26,1298,25,621,
Colombia,San Andres y Providencia,2020-07-26,33,0,27,
Colombia,Santander,2020-07-26,2564,64,901,
Colombia,Sucre,2020-07-26,5119,327,1972,
Colombia,Tolima,2020-07-26,2049,38,1224,
Colombia,Valle del Cauca,2020-07-26,20875,812,11243,
Colombia,Vaupes,2020-07-26,61,1,41,
Colombia,Vichada,2020-07-26,2,0,1,
Ethiopia,,2020-07-26,13968,223,6216,
Indonesia,,2020-07-26,98778,4781,56655,
Malaysia,,2020-07-26,8897,124,8600,
Colombia,Unknown,2020-07-26,0,0,0,
Colombia,Amazonas,2020-07-27,2506,101,2309,
Colombia,Antioquia,2020-07-27,26117,363,7378,
Colombia,Arauca,2020-07-27,181,1,124,
Colombia,Atlantico,2020-07-27,49037,2413,33900,
Colombia,Bolivar,2020-07-27,16883,551,12090,
Colombia,Boyaca,2020-07-27,820,26,430,
Colombia,Caldas,2020-07-27,723,9,273,
Colombia,Capital District,2020-07-27,86857,2307,37916,
Colombia,Caqueta,2020-07-27,678,12,97,
Colombia,Casanare,2020-07-27,252,4,111,
Colombia,Cauca,2020-07-27,1624,52,637,
Colombia,Cesar,2020-07-27,2636,52,1398,
Colombia,Choco,2020-07-27,2861,95,1925,
Colombia,Cordoba,2020-07-27,4504,488,1289,
Colombia,Cundinamarca,2020-07-27,7241,187,3725,
Colombia,Guainia,2020-07-27,14,1,13,
Colombia,Guaviare,2020-07-27,80,0,47,
Colombia,Huila,2020-07-27,721,18,391,
Colombia,La Guajira,2020-07-27,1888,105,894,
Colombia,Magdalena,2020-07-27,5397,320,2746,
Colombia,Meta,2020-07-27,2313,30,1555,
Colombia,Narino,2020-07-27,7090,210,3840,
Colombia,Norte de Santander,2020-07-27,1785,70,422,
Colombia,Putumayo,2020-07-27,759,24,43,
Colombia,Quindio,2020-07-27,267,6,195,
Colombia,Risaralda,2020-07-27,1349,25,657,
Colombia,San Andres y Providencia,2020-07-27,35,0,28,
Colombia,Santander,2020-07-27,2797,68,1058,
Colombia,Sucre,2020-07-27,5440,346,2286,
Colombia,Tolima,2020-07-27,2173,37,1276,
Colombia,Valle del Cauca,2020-07-27,22010,855,12058,
Colombia,Vaupes,2020-07-27,61,1,49,
Colombia,Vichada,2020-07-27,2,0,1,
Ethiopia,,2020-07-27,14547,228,6386,
Indonesia,,2020-07-27,100303,4838,58173,
Malaysia,,2020-07-27,8904,124,8601,
Colombia,Unknown,2020-07-27,0,0,0,
Colombia,Amazonas,2020-07-28,2507,102,2313,
Colombia,Antioquia,2020-07-28,27226,394,7983,
Colombia,Arauca,2020-07-28,183,1,133,
Colombia,Atlantico,2020-07-28,50212,2436,34602,
Colombia,Bolivar,2020-07-28,17363,555,12333,
Colombia,Boyaca,2020-07-28,844,26,436,
Colombia,Caldas,2020-07-28,734,9,276,
Colombia,Capital District,2020-07-28,91408,2392,40090,
Colombia,Caqueta,2020-07-28,742,15,116,
Colombia,Casanare,2020-07-28,268,4,112,
Colombia,Cauca,2020-07-28,1696,54,684,
Colombia,Cesar,2020-07-28,2798,53,1440,
Colombia,Choco,2020-07-28,2916,95,1969,
Colombia,Cordoba,2020-07-28,4841,548,1428,
Colombia,Cundinamarca,2020-07-28,7458,195,3896,
Colombia,Guainia,2020-07-28,15,1,13,
Colombia,Guaviare,2020-07-28,85,0,48,
Colombia,Huila,2020-07-28,746,18,395,
Colombia,La Guajira,2020-07-28,1967,106,943,
Colombia,Magdalena,2020-07-28,5645,327,2966,
Colombia,Meta,2020-07-28,2380,30,1609,
Colombia,Narino,2020-07-28,7256,220,3984,
Colombia,Norte de Santander,2020-07-28,1846,80,467,
Colombia,Putumayo,2020-07-28,762,27,56,
Colombia,Quindio,2020-07-28,266,7,197,
Colombia,Risaralda,2020-07-28,1437,26,667,
Colombia,San Andres y Providencia,2020-07-28,36,0,28,
Colombia,Santander,2020-07-28,3050,69,1108,
Colombia,Sucre,2020-07-28,5663,351,2476,
Colombia,Tolima,2020-07-28,2241,44,1304,
Colombia,Valle del Cauca,2020-07-28,22731,888,12568,
Colombia,Vaupes,2020-07-28,61,1,49,
Colombia,Vichada,2020-07-28,2,0,1,
Ethiopia,,2020-07-28,15200,239,6526,
Indonesia,,2020-07-28,102051,4901,60539,
Malaysia,,2020-07-28,8943,124,8607,
Colombia,Unknown,2020-07-28,0,0,0,
Colombia,Amazonas,2020-07-29,2508,102,2315,
Colombia,Antioquia,2020-07-29,28845,429,8721,
Colombia,Arauca,2020-07-29,200,1,133,
Colombia,Atlantico,2020-07-29,50732,2475,35585,
Colombia,Bolivar,2020-07-29,17621,571,12690,
Colombia,Boyaca,2020-07-29,929,27,457,
Colombia,Caldas,2020-07-29,793,10,283,
Colombia,Capital District,2020-07-29,95199,2517,42179,
Colombia,Caqueta,2020-07-29,816,16,128,
Colombia,Casanare,2020-07-29,277,4,113,
Colombia,Cauca,2020-07-29,1746,57,736,
Colombia,Cesar,2020-07-29,2886,61,1482,
Colombia,Choco,2020-07-29,2931,100,2046,
Colombia,Cordoba,2020-07-29,5032,600,1595,
Colombia,Cundinamarca,2020-07-29,7720,198,4076,
Colombia,Guainia,2020-07-29,14,1,13,
Colombia,Guaviare,2020-07-29,85,0,48,
Colombia,Huila,2020-07-29,778,20,413,
Colombia,La Guajira,2020-07-29,2020,112,1008,
Colombia,Magdalena,2020-07-29,5806,338,3154,
Colombia,Meta,2020-07-29,2469,30,1669,
Colombia,Narino,2020-07-29,7494,235,4118,
Colombia,Norte de Santander,2020-07-29,2031,87,514,
Colombia,Putumayo,2020-07-29,777,28,73,
Colombia,Quindio,2020-07-29,303,8,203,
Colombia,Risaralda,2020-07-29,1511,26,689,
Colombia,San Andres y Providencia,2020-07-29,38,0,29,
Colombia,Santander,2020-07-29,3289,79,1169,
Colombia,Sucre,2020-07-29,5742,356,2722,
Colombia,Tolima,2020-07-29,2286,47,1345,
Colombia,Valle del Cauca,2020-07-29,23114,918,13019,
Colombia,Vaupes,2020-07-29,61,1,51,
Colombia,Vichada,2020-07-29,2,0,1,
Ethiopia,,2020-07-29,15810,253,6685,
Indonesia,,2020-07-29,104432,4975,62138,
Malaysia,,2020-07-29,8956,124,8612,
Colombia,Unknown,2020-07-29,0,0,0,
Colombia,Amazonas,2020-07-30,2510,102,2333,
Colombia,Antioquia,2020-07-30,30685,478,9248,
Colombia,Arauca,2020-07-30,202,3,136,
Colombia,Atlantico,2020-07-30,51783,2500,36901,
Colombia,Bolivar,2020-07-30,17906,588,13077,
Colombia,Boyaca,2020-07-30,982,27,478,
Colombia,Caldas,2020-07-30,851,10,292,
Colombia,Capital District,2020-07-30,98209,2658,44015,
Colombia,Caqueta,2020-07-30,884,18,155,
Colombia,Casanare,2020-07-30,298,4,119,
Colombia,Cauca,2020-07-30,1819,60,779,
Colombia,Cesar,2020-07-30,3001,61,1532,
Colombia,Choco,2020-07-30,2967,102,2094,
Colombia,Cordoba,2020-07-30,5413,631,1732,
Colombia,Cundinamarca,2020-07-30,8253,206,4237,
Colombia,Guainia,2020-07-30,14,1,13,
Colombia,Guaviare,2020-07-30,86,0,48,
Colombia,Huila,2020-07-30,890,20,419,
Colombia,La Guajira,2020-07-30,2053,115,1091,
Colombia,Magdalena,2020-07-30,6059,350,3248,
Colombia,Meta,2020-07-30,2632,30,1719,
Colombia,Narino,2020-07-30,7770,246,4284,
Colombia,Norte de Santander,2020-07-30,2141,101,552,
Colombia,Putumayo,2020-07-30,851,28,84,
Colombia,Quindio,2020-07-30,322,8,205,
Colombia,Risaralda,2020-07-30,1574,27,705,
Colombia,San Andres y Providencia,2020-07-30,38,0,29,
Colombia,Santander,2020-07-30,3482,84,1220,
Colombia,Sucre,2020-07-30,5817,363,2924,
Colombia,Tolima,2020-07-30,2472,47,1450,
Colombia,Valle del Cauca,2020-07-30,23993,941,13524,
Colombia,Vaupes,2020-07-30,61,1,51,
Colombia,Vichada,2020-07-30,2,0,1,
Ethiopia,,2020-07-30,16615,263,6763,
Indonesia,,2020-07-30,106336,5058,64292,
Malaysia,,2020-07-30,8964,124,8617,
Colombia,Unknown,2020-07-30,0,0,0,
Colombia,Amazonas,2020-07-31,2510,102,2339,
Colombia,Antioquia,2020-07-31,32759,521,10133,
Colombia,Arauca,2020-07-31,213,3,137,
Colombia,Atlantico,2020-07-31,52313,2526,37728,
Colombia,Bolivar,2020-07-31,18240,590,13343,
Colombia,Boyaca,2020-07-31,1030,28,496,
Colombia,Caldas,2020-07-31,957,11,303,
Colombia,Capital District,2020-07-31,101955,2748,46107,
Colombia,Caqueta,2020-07-31,934,21,200,
Colombia,Casanare,2020-07-31,306,4,121,
Colombia,Cauca,2020-07-31,1896,63,809,
Colombia,Cesar,2020-07-31,3116,64,1565,
Colombia,Choco,2020-07-31,3000,102,2146,
Colombia,Cordoba,2020-07-31,5538,660,1836,
Colombia,Cundinamarca,2020-07-31,8500,210,4423,
Colombia,Guainia,2020-07-31,14,1,13,
Colombia,Guaviare,2020-07-31,99,0,48,
Colombia,Huila,2020-07-31,908,26,426,
Colombia,La Guajira,2020-07-31,2108,119,1108,
Colombia,Magdalena,2020-07-31,6138,363,3364,
Colombia,Meta,2020-07-31,2759,36,1763,
Colombia,Narino,2020-07-31,7970,255,4498,
Colombia,Norte de Santander,2020-07-31,2342,104,590,
Colombia,Putumayo,2020-07-31,909,37,128,
Colombia,Quindio,2020-07-31,348,8,208,
Colombia,Risaralda,2020-07-31,1634,27,721,
Colombia,San Andres y Providencia,2020-07-31,38,0,29,
Colombia,Santander,2020-07-31,3749,88,1283,
Colombia,Sucre,2020-07-31,5928,371,3013,
Colombia,Tolima,2020-07-31,2574,53,1487,
Colombia,Valle del Cauca,2020-07-31,24660,963,13970,
Colombia,Vaupes,2020-07-31,61,1,51,
Colombia,Vichada,2020-07-31,2,0,1,
Ethiopia,,2020-07-31,17530,274,6950,
Indonesia,,2020-07-31,108376,5131,65907,
Malaysia,,2020-07-31,8976,125,8644,
Colombia,Unknown,2020-07-31,0,0,0,
Colombia,Amazonas,2020-08-01,2511,102,2343,
Colombia,Antioquia,2020-08-01,35746,537,10976,
Colombia,Arauca,2020-08-01,219,3,140,
Colombia,Atlantico,2020-08-01,53131,2545,38624,
Colombia,Bolivar,2020-08-01,18587,595,13655,
Colombia,Boyaca,2020-08-01,1093,29,509,
Colombia,Caldas,2020-08-01,989,12,304,
Colombia,Capital District,2020-08-01,104656,2828,48624,
Colombia,Caqueta,2020-08-01,1116,23,231,
Colombia,Casanare,2020-08-01,315,5,125,
Colombia,Cauca,2020-08-01,1971,64,853,
Colombia,Cesar,2020-08-01,3351,63,1596,
Colombia,Choco,2020-08-01,3021,102,2198,
Colombia,Cordoba,2020-08-01,5825,665,2012,
Colombia,Cundinamarca,2020-08-01,8978,239,4576,
Colombia,Guainia,2020-08-01,14,1,13,
Colombia,Guaviare,2020-08-01,99,0,49,
Colombia,Huila,2020-08-01,950,26,434,
Colombia,La Guajira,2020-08-01,2156,122,1144,
Colombia,Magdalena,2020-08-01,6531,368,3554,
Colombia,Meta,2020-08-01,2849,36,1806,
Colombia,Narino,2020-08-01,8090,261,4611,
Colombia,Norte de Santander,2020-08-01,2504,113,657,
Colombia,Putumayo,2020-08-01,943,38,170,
Colombia,Quindio,2020-08-01,364,8,208,
Colombia,Risaralda,2020-08-01,1803,29,741,
Colombia,San Andres y Providencia,2020-08-01,38,0,29,
Colombia,Santander,2020-08-01,3993,110,1335,
Colombia,Sucre,2020-08-01,6002,372,3166,
Colombia,Tolima,2020-08-01,2645,53,1560,
Colombia,Valle del Cauca,2020-08-01,25628,980,14411,
Colombia,Vaupes,2020-08-01,61,1,53,
Colombia,Vichada,2020-08-01,2,0,1,
Ethiopia,,2020-08-01,17999,284,7195,
Indonesia,,2020-08-01,109936,5193,67919,
Malaysia,,2020-08-01,8985,125,8647,
Colombia,Unknown,2020-08-01,0,0,0,
Colombia,Amazonas,2020-08-02,2513,102,2348,
Colombia,Antioquia,2020-08-02,38026,593,11859,
Colombia,Arauca,2020-08-02,240,3,142,
Colombia,Atlantico,2020-08-02,53835,2565,39712,
Colombia,Bolivar,2020-08-02,18861,596,13876,
Colombia,Boyaca,2020-08-02,1154,30,527,
Colombia,Caldas,2020-08-02,1023,13,317,
Colombia,Capital District,2020-08-02,109153,2910,51123,
Colombia,Caqueta,2020-08-02,1276,29,248,
Colombia,Casanare,2020-08-02,328,5,134,
Colombia,Cauca,2020-08-02,2042,68,889,
Colombia,Cesar,2020-08-02,3504,68,1652,
Colombia,Choco,2020-08-02,3055,104,2218,
Colombia,Cordoba,2020-08-02,6437,688,2153,
Colombia,Cundinamarca,2020-08-02,9545,256,4781,
Colombia,Guainia,2020-08-02,14,1,13,
Colombia,Guaviare,2020-08-02,110,0,55,
Colombia,Huila,2020-08-02,986,27,453,
Colombia,La Guajira,2020-08-02,2198,127,1227,
Colombia,Magdalena,2020-08-02,6749,374,3718,
Colombia,Meta,2020-08-02,2919,40,1860,
Colombia,Narino,2020-08-02,8185,269,4755,
Colombia,Norte de Santander,2020-08-02,2677,125,736,
Colombia,Putumayo,2020-08-02,1033,40,196,
Colombia,Quindio,2020-08-02,378,8,210,
Colombia,Risaralda,2020-08-02,1963,32,770,
Colombia,San Andres y Providencia,2020-08-02,42,0,30,
Colombia,Santander,2020-08-02,4188,124,1399,
Colombia,Sucre,2020-08-02,6115,377,3355,
Colombia,Tolima,2020-08-02,2768,55,1617,
Colombia,Valle del Cauca,2020-08-02,26270,1020,14812,
Colombia,Vaupes,2020-08-02,61,1,53,
Colombia,Vichada,2020-08-02,3,0,1,
Ethiopia,,2020-08-02,18706,310,7601,
Indonesia,,2020-08-02,111455,5236,68975,
Malaysia,,2020-08-02,8999,125,8664,
Colombia,Unknown,2020-08-02,0,0,0,
Colombia,Amazonas,2020-08-03,2513,104,2350,
Colombia,Antioquia,2020-08-03,40927,625,13170,
Colombia,Arauca,2020-08-03,246,4,152,
Colombia,Atlantico,2020-08-03,54434,2586,40553,
Colombia,Bolivar,2020-08-03,19209,603,14151,
Colombia,Boyaca,2020-08-03,1212,32,539,
Colombia,Caldas,2020-08-03,1037,14,321,
Colombia,Capital District,2020-08-03,111294,3052,53395,
Colombia,Caqueta,2020-08-03,1515,33,255,
Colombia,Casanare,2020-08-03,351,6,144,
Colombia,Cauca,2020-08-03,2131,69,924,
Colombia,Cesar,2020-08-03,3542,73,1713,
Colombia,Choco,2020-08-03,3069,105,2269,
Colombia,Cordoba,2020-08-03,6941,727,2216,
Colombia,Cundinamarca,2020-08-03,10032,267,5112,
Colombia,Guainia,2020-08-03,14,1,13,
Colombia,Guaviare,2020-08-03,115,0,55,
Colombia,Huila,2020-08-03,1128,27,477,
Colombia,La Guajira,2020-08-03,2324,131,1268,
Colombia,Magdalena,2020-08-03,7063,376,3789,
Colombia,Meta,2020-08-03,3024,42,1898,
Colombia,Narino,2020-08-03,8431,274,4927,
Colombia,Norte de Santander,2020-08-03,2819,139,835,
Colombia,Putumayo,2020-08-03,1128,47,212,
Colombia,Quindio,2020-08-03,402,8,210,
Colombia,Risaralda,2020-08-03,2057,34,824,
Colombia,San Andres y Providencia,2020-08-03,44,0,30,
Colombia,Santander,2020-08-03,4434,137,1529,
Colombia,Sucre,2020-08-03,6326,381,3405,
Colombia,Tolima,2020-08-03,2900,61,1651,
Colombia,Valle del Cauca,2020-08-03,27120,1058,15280,
Colombia,Vaupes,2020-08-03,61,1,59,
Colombia,Vichada,2020-08-03,7,0,1,
Ethiopia,,2020-08-03,19289,336,7931,
Indonesia,,2020-08-03,113134,5302,70237,
Malaysia,,2020-08-03,9001,125,8668,
Colombia,Unknown,2020-08-03,0,0,0,
Colombia,Amazonas,2020-08-04,2513,104,2354,
Colombia,Antioquia,2020-08-04,41978,655,14378,
Colombia,Arauca,2020-08-04,248,5,154,
Colombia,Atlantico,2020-08-04,55206,2598,41484,
Colombia,Bolivar,2020-08-04,19306,605,14448,
Colombia,Boyaca,2020-08-04,1239,31,555,
Colombia,Caldas,2020-08-04,1061,15,330,
Colombia,Capital District,2020-08-04,113548,3169,55013,
Colombia,Caqueta,2020-08-04,1647,41,359,
Colombia,Casanare,2020-08-04,366,6,148,
Colombia,Cauca,2020-08-04,2181,74,1007,
Colombia,Cesar,2020-08-04,3735,75,1754,
Colombia,Choco,2020-08-04,3098,106,2338,
Colombia,Cordoba,2020-08-04,7249,756,2496,
Colombia,Cundinamarca,2020-08-04,10231,279,5303,
Colombia,Guainia,2020-08-04,14,1,13,
Colombia,Guaviare,2020-08-04,115,0,58,
Colombia,Huila,2020-08-04,1164,27,512,
Colombia,La Guajira,2020-08-04,2382,134,1346,
Colombia,Magdalena,2020-08-04,7200,391,3946,
Colombia,Meta,2020-08-04,3074,44,1954,
Colombia,Narino,2020-08-04,8596,282,5091,
Colombia,Norte de Santander,2020-08-04,3087,145,923,
Colombia,Putumayo,2020-08-04,1208,47,257,
Colombia,Quindio,2020-08-04,409,9,210,
Colombia,Risaralda,2020-08-04,2148,41,848,
Colombia,San Andres y Providencia,2020-08-04,45,0,32,
Colombia,Santander,2020-08-04,4752,145,1682,
Colombia,Sucre,2020-08-04,6497,386,3710,
Colombia,Tolima,2020-08-04,3021,62,1699,
Colombia,Valle del Cauca,2020-08-04,27592,1081,15796,
Colombia,Vaupes,2020-08-04,61,1,59,
Colombia,Vichada,2020-08-04,8,0,1,
Ethiopia,,2020-08-04,19877,343,8240,
Indonesia,,2020-08-04,115056,5388,72050,
Malaysia,,2020-08-04,9002,125,8684,
Colombia,Unknown,2020-08-04,0,0,0,
Colombia,Amazonas,2020-08-05,2524,104,2357,
Colombia,Antioquia,2020-08-05,43370,712,15721,
Colombia,Arauca,2020-08-05,251,5,157,
Colombia,Atlantico,2020-08-05,55663,2620,42109,
Colombia,Bolivar,2020-08-05,19548,607,14708,
Colombia,Boyaca,2020-08-05,1305,30,575,
Colombia,Caldas,2020-08-05,1111,15,386,
Colombia,Capital District,2020-08-05,117793,3261,56602,
Colombia,Caqueta,2020-08-05,1839,43,394,
Colombia,Casanare,2020-08-05,389,6,154,
Colombia,Cauca,2020-08-05,2328,78,1055,
Colombia,Cesar,2020-08-05,3835,82,1814,
Colombia,Choco,2020-08-05,3103,108,2399,
Colombia,Cordoba,2020-08-05,7774,773,2621,
Colombia,Cundinamarca,2020-08-05,10641,287,5560,
Colombia,Guainia,2020-08-05,14,1,13,
Colombia,Guaviare,2020-08-05,122,0,59,
Colombia,Huila,2020-08-05,1206,27,530,
Colombia,La Guajira,2020-08-05,2434,139,1424,
Colombia,Magdalena,2020-08-05,7549,395,4048,
Colombia,Meta,2020-08-05,3175,44,1989,
Colombia,Narino,2020-08-05,8776,290,5226,
Colombia,Norte de Santander,2020-08-05,3299,166,1035,
Colombia,Putumayo,2020-08-05,1259,53,291,
Colombia,Quindio,2020-08-05,447,9,213,
Colombia,Risaralda,2020-08-05,2212,42,891,
Colombia,San Andres y Providencia,2020-08-05,45,0,32,
Colombia,Santander,2020-08-05,5087,163,1765,
Colombia,Sucre,2020-08-05,6735,387,3866,
Colombia,Tolima,2020-08-05,3203,70,1736,
Colombia,Valle del Cauca,2020-08-05,28611,1106,16527,
Colombia,Vaupes,2020-08-05,61,1,59,
Colombia,Vichada,2020-08-05,5,0,1,
Ethiopia,,2020-08-05,20336,356,8598,
Indonesia,,2020-08-05,116871,5452,73889,
Malaysia,,2020-08-05,9023,125,8702,
Colombia,Unknown,2020-08-05,0,0,0,
Colombia,Amazonas,2020-08-06,2537,104,2360,
Colombia,Antioquia,2020-08-06,44730,736,16901,
Colombia,Arauca,2020-08-06,305,6,160,
Colombia,Atlantico,2020-08-06,56118,2635,42802,
Colombia,Bolivar,2020-08-06,19657,612,15048,
Colombia,Boyaca,2020-08-06,1376,33,589,
Colombia,Caldas,2020-08-06,1158,16,401,
Colombia,Capital District,2020-08-06,123875,3375,57838,
Colombia,Caqueta,2020-08-06,1868,47,466,
Colombia,Casanare,2020-08-06,414,6,161,
Colombia,Cauca,2020-08-06,2392,83,1120,
Colombia,Cesar,2020-08-06,3979,82,1881,
Colombia,Choco,2020-08-06,3125,111,2427,
